start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,adelchi-virgili,A. Virgili,cristian-rodriguez,C. Rodriguez,genova_challenger,3rd Round Qualifying,2.0,f,100,2,01:08:00,115.0,0.0,6.0,12.0,0.0,0.0,210.0,5.0,9.0,32.0,60.0,20.0,32.0,12.0,28.0,3.0,7.0,9.0,103.0,11.0,40.0,7.0,15.0,1.0,6.0,9.0,32.0,60.0,18.0,55.0,50.0,f,f,6,f,Italy,2.0,12.0,6.0,0.0,288.0,1.0,0.0,40.0,55.0,29.0,40.0,8.0,15.0,5.0,6.0,9.0,196.0,12.0,32.0,16.0,28.0,4.0,7.0,9.0,37.0,55.0,28.0,60.0,65.0,t,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,adelchi-virgili,A. Virgili,luca-pompeo,L. Pompeo,genova_challenger,2nd Round Qualifying,2.0,f,100,1,00:59:00,106.0,2.0,12.0,4.0,0.0,0.0,274.0,4.0,3.0,24.0,46.0,18.0,24.0,13.0,22.0,3.0,4.0,8.0,221.0,10.0,22.0,22.0,38.0,5.0,9.0,8.0,31.0,46.0,32.0,60.0,63.0,t,f,6,t,Italy,0.0,4.0,12.0,0.0,166.0,2.0,7.0,22.0,60.0,12.0,22.0,16.0,38.0,4.0,9.0,8.0,103.0,6.0,24.0,9.0,22.0,1.0,4.0,8.0,28.0,60.0,15.0,46.0,43.0,f,f,f,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,adrian-garcia,A. Garcia,alessandro-giannessi,A. Giannessi,genova_challenger,Round of 32,2.0,f,100,3,00:24:00,39.0,0.0,1.0,7.0,0.0,0.0,154.0,1.0,0.0,11.0,19.0,5.0,11.0,2.0,8.0,0.0,3.0,4.0,42.0,2.0,12.0,2.0,8.0,0.0,0.0,4.0,7.0,19.0,4.0,20.0,11.0,f,t,,f,Italy,2.0,7.0,1.0,0.0,321.0,3.0,0.0,12.0,20.0,10.0,12.0,6.0,8.0,0.0,0.0,4.0,305.0,6.0,11.0,6.0,8.0,3.0,3.0,4.0,16.0,20.0,12.0,19.0,28.0,t,t,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,alessandro-giannessi,A. Giannessi,fabio-fognini,F. Fognini,genova_challenger,Round of 16,2.0,f,100,4,01:21:00,134.0,0.0,7.0,12.0,0.0,0.0,218.0,0.0,4.0,34.0,56.0,19.0,34.0,11.0,22.0,4.0,8.0,9.0,131.0,18.0,50.0,14.0,28.0,2.0,8.0,10.0,30.0,56.0,32.0,78.0,62.0,f,f,WC,f,Italy,2.0,12.0,7.0,0.0,256.0,2.0,4.0,50.0,78.0,32.0,50.0,14.0,28.0,6.0,8.0,10.0,188.0,15.0,34.0,11.0,22.0,4.0,8.0,9.0,46.0,78.0,26.0,56.0,72.0,t,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,alessandro-motti,A. Motti,cristian-rodriguez,C. Rodriguez,genova_challenger,2nd Round Qualifying,3.0,f,100,1,02:10:00,191.0,1.0,13.0,18.0,1.0,1.0,229.0,1.0,6.0,57.0,91.0,38.0,57.0,15.0,34.0,4.0,10.0,15.0,161.0,20.0,63.0,18.0,37.0,3.0,5.0,15.0,53.0,91.0,38.0,100.0,91.0,f,f,,t,Italy,2.0,18.0,13.0,0.0,258.0,2.0,6.0,63.0,100.0,43.0,63.0,19.0,37.0,2.0,5.0,15.0,189.0,19.0,57.0,19.0,34.0,6.0,10.0,15.0,62.0,100.0,38.0,91.0,100.0,t,f,f,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,alessandro-motti,A. Motti,giovanni-galvani,G. Galvani,genova_challenger,1st Round Qualifying,2.0,f,100,0,00:42:00,77.0,2.0,12.0,0.0,0.0,0.0,291.0,3.0,4.0,22.0,37.0,19.0,22.0,7.0,15.0,1.0,1.0,6.0,333.0,14.0,26.0,13.0,14.0,6.0,7.0,6.0,26.0,37.0,27.0,40.0,53.0,t,f,,t,Italy,0.0,0.0,12.0,0.0,112.0,1.0,7.0,26.0,40.0,12.0,26.0,1.0,14.0,1.0,7.0,6.0,67.0,3.0,22.0,8.0,15.0,0.0,1.0,6.0,13.0,40.0,11.0,37.0,24.0,f,f,f,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,alessio-guidotti,A. Guidotti,kevin-albonetti,K. Albonetti,genova_challenger,1st Round Qualifying,2.0,f,100,0,00:58:00,100.0,0.0,5.0,12.0,0.0,0.0,173.0,1.0,5.0,34.0,55.0,18.0,34.0,6.0,21.0,6.0,12.0,9.0,155.0,8.0,27.0,9.0,18.0,2.0,4.0,8.0,24.0,55.0,17.0,45.0,41.0,f,f,WC,f,Italy,2.0,12.0,5.0,0.0,253.0,1.0,3.0,27.0,45.0,19.0,27.0,9.0,18.0,2.0,4.0,8.0,234.0,16.0,34.0,15.0,21.0,6.0,12.0,9.0,28.0,45.0,31.0,55.0,59.0,t,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,alessio-maccari,A. Maccari,augusto-virgili,A. Virgili,genova_challenger,1st Round Qualifying,2.0,f,100,0,01:21:00,139.0,2.0,12.0,3.0,0.0,0.0,247.0,0.0,4.0,26.0,68.0,22.0,26.0,18.0,42.0,8.0,9.0,7.0,226.0,19.0,32.0,23.0,39.0,6.0,18.0,8.0,40.0,68.0,42.0,71.0,82.0,t,f,,t,Italy,0.0,3.0,12.0,0.0,146.0,0.0,6.0,32.0,71.0,13.0,32.0,16.0,39.0,12.0,18.0,8.0,97.0,4.0,26.0,24.0,42.0,1.0,9.0,7.0,29.0,71.0,28.0,68.0,57.0,f,f,f,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,alessio-maccari,A. Maccari,riccardo-maiga,R. Maiga,genova_challenger,2nd Round Qualifying,2.0,f,100,1,00:45:00,62.0,0.0,0.0,12.0,0.0,0.0,77.0,1.0,7.0,7.0,31.0,3.0,7.0,4.0,24.0,2.0,8.0,6.0,46.0,3.0,16.0,4.0,15.0,0.0,0.0,6.0,7.0,31.0,7.0,31.0,14.0,f,f,,f,Italy,2.0,12.0,0.0,0.0,308.0,2.0,0.0,16.0,31.0,13.0,16.0,11.0,15.0,0.0,0.0,6.0,315.0,4.0,7.0,20.0,24.0,6.0,8.0,6.0,24.0,31.0,24.0,31.0,48.0,t,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andrea-basso,A. Basso,filippo-ghio,F. Ghio,genova_challenger,1st Round Qualifying,2.0,f,100,0,00:51:00,86.0,2.0,12.0,3.0,0.0,0.0,295.0,3.0,2.0,25.0,49.0,20.0,25.0,15.0,24.0,0.0,0.0,8.0,239.0,12.0,25.0,8.0,12.0,4.0,6.0,7.0,35.0,49.0,20.0,37.0,55.0,t,f,WC,t,Italy,0.0,3.0,12.0,0.0,194.0,1.0,2.0,25.0,37.0,13.0,25.0,4.0,12.0,2.0,6.0,7.0,58.0,5.0,25.0,9.0,24.0,0.0,0.0,8.0,17.0,37.0,14.0,49.0,31.0,f,f,f,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andrea-basso,A. Basso,francesco-piccari,F. Piccari,genova_challenger,2nd Round Qualifying,2.0,f,100,1,01:26:00,138.0,0.0,8.0,12.0,0.0,0.0,250.0,6.0,4.0,37.0,76.0,29.0,37.0,16.0,39.0,7.0,9.0,10.0,61.0,15.0,40.0,5.0,22.0,0.0,0.0,10.0,45.0,76.0,20.0,62.0,65.0,f,f,WC,f,Italy,2.0,12.0,8.0,0.0,309.0,5.0,1.0,40.0,62.0,25.0,40.0,17.0,22.0,0.0,0.0,10.0,123.0,8.0,37.0,23.0,39.0,2.0,9.0,10.0,42.0,62.0,31.0,76.0,73.0,t,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andreas-seppi,A. Seppi,fabio-fognini,F. Fognini,genova_challenger,Semi-Finals,3.0,f,100,6,02:07:00,164.0,1.0,12.0,16.0,0.0,0.0,202.0,1.0,1.0,38.0,85.0,22.0,38.0,23.0,47.0,11.0,18.0,14.0,194.0,16.0,48.0,17.0,31.0,5.0,7.0,14.0,45.0,85.0,33.0,79.0,78.0,f,f,2,f,Italy,2.0,16.0,12.0,0.0,236.0,0.0,1.0,48.0,79.0,32.0,48.0,14.0,31.0,2.0,7.0,14.0,182.0,16.0,38.0,24.0,47.0,7.0,18.0,14.0,46.0,79.0,40.0,85.0,86.0,t,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andreas-seppi,A. Seppi,filippo-volandri,F. Volandri,genova_challenger,Quarter-Finals,2.0,f,100,5,01:29:00,133.0,2.0,13.0,7.0,1.0,1.0,264.0,3.0,0.0,41.0,69.0,25.0,41.0,17.0,28.0,4.0,6.0,10.0,214.0,20.0,42.0,12.0,22.0,4.0,6.0,9.0,42.0,69.0,32.0,64.0,74.0,t,f,2,t,Italy,0.0,7.0,13.0,0.0,216.0,0.0,2.0,42.0,64.0,22.0,42.0,10.0,22.0,2.0,6.0,9.0,131.0,16.0,41.0,11.0,28.0,2.0,6.0,10.0,32.0,64.0,27.0,69.0,59.0,f,f,f,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andreas-seppi,A. Seppi,gianluca-naso,G. Naso,genova_challenger,Round of 32,3.0,f,100,3,02:05:00,170.0,2.0,14.0,13.0,1.0,1.0,261.0,3.0,4.0,43.0,75.0,34.0,43.0,16.0,32.0,2.0,5.0,13.0,132.0,22.0,51.0,16.0,44.0,3.0,10.0,13.0,50.0,75.0,38.0,95.0,88.0,t,f,2,t,Italy,1.0,13.0,14.0,0.0,249.0,2.0,4.0,51.0,95.0,29.0,51.0,28.0,44.0,7.0,10.0,13.0,154.0,9.0,43.0,16.0,32.0,3.0,5.0,13.0,57.0,95.0,25.0,75.0,82.0,f,f,f,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andreas-seppi,A. Seppi,igor-andreev,I. Andreev,genova_challenger,Round of 16,3.0,f,100,4,01:33:00,139.0,2.0,13.0,9.0,0.0,0.0,246.0,4.0,3.0,40.0,65.0,27.0,40.0,13.0,25.0,2.0,6.0,11.0,224.0,22.0,47.0,15.0,27.0,6.0,9.0,11.0,40.0,65.0,37.0,74.0,77.0,t,f,2,f,Italy,1.0,9.0,13.0,0.0,203.0,1.0,4.0,47.0,74.0,25.0,47.0,12.0,27.0,3.0,9.0,11.0,184.0,13.0,40.0,12.0,25.0,4.0,6.0,11.0,37.0,74.0,25.0,65.0,62.0,f,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andre-begemann,A. Begemann,potito-starace,P. Starace,genova_challenger,Round of 32,3.0,f,100,3,02:08:00,204.0,1.0,14.0,18.0,1.0,1.0,246.0,6.0,8.0,65.0,110.0,47.0,65.0,20.0,45.0,6.0,10.0,15.0,125.0,18.0,72.0,12.0,22.0,2.0,6.0,16.0,67.0,110.0,30.0,94.0,97.0,f,f,,f,Italy,2.0,18.0,14.0,0.0,289.0,7.0,2.0,72.0,94.0,54.0,72.0,10.0,22.0,4.0,6.0,16.0,150.0,18.0,65.0,25.0,45.0,4.0,10.0,15.0,64.0,94.0,43.0,110.0,107.0,t,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andrey-kumantsov,A. Kumantsov,johannes-ager,J. Ager,genova_challenger,Round of 32,2.0,f,100,3,00:56:00,93.0,2.0,12.0,5.0,0.0,0.0,302.0,6.0,5.0,27.0,52.0,23.0,27.0,16.0,25.0,2.0,2.0,9.0,188.0,11.0,32.0,6.0,9.0,3.0,6.0,8.0,39.0,52.0,17.0,41.0,56.0,t,f,,t,Italy,0.0,5.0,12.0,0.0,240.0,1.0,0.0,32.0,41.0,21.0,32.0,3.0,9.0,3.0,6.0,8.0,51.0,4.0,27.0,9.0,25.0,0.0,2.0,9.0,24.0,41.0,13.0,52.0,37.0,f,f,f,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andrey-kumantsov,A. Kumantsov,simone-bolelli,S. Bolelli,genova_challenger,Quarter-Finals,2.0,f,100,5,01:28:00,124.0,0.0,6.0,13.0,0.0,0.0,184.0,1.0,13.0,27.0,62.0,16.0,27.0,15.0,35.0,4.0,9.0,10.0,145.0,15.0,44.0,9.0,18.0,1.0,2.0,9.0,31.0,62.0,24.0,62.0,55.0,f,f,,f,Italy,2.0,13.0,6.0,0.0,275.0,2.0,2.0,44.0,62.0,29.0,44.0,9.0,18.0,1.0,2.0,9.0,204.0,11.0,27.0,20.0,35.0,5.0,9.0,10.0,38.0,62.0,31.0,62.0,69.0,t,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,andrey-kumantsov,A. Kumantsov,teymuraz-gabashvili,T. Gabashvili,genova_challenger,Round of 16,3.0,f,100,4,02:41:00,223.0,2.0,15.0,15.0,0.0,0.0,220.0,3.0,12.0,57.0,110.0,39.0,57.0,23.0,53.0,7.0,12.0,15.0,148.0,23.0,59.0,27.0,54.0,5.0,19.0,15.0,62.0,110.0,50.0,113.0,112.0,t,f,,f,Italy,1.0,15.0,15.0,0.0,228.0,3.0,4.0,59.0,113.0,36.0,59.0,27.0,54.0,14.0,19.0,15.0,164.0,18.0,57.0,30.0,53.0,5.0,12.0,15.0,63.0,113.0,48.0,110.0,111.0,f,f,t,Italy
2010-09-06,2010-09-12,Italy,Clay,85000.0,€,2010,antonio-zucca,A. Zucca,edoardo-santonocito,E. Santonocito,genova_challenger,1st Round Qualifying,3.0,f,100,0,01:49:00,204.0,2.0,15.0,12.0,0.0,0.0,213.0,2.0,11.0,43.0,90.0,30.0,43.0,20.0,47.0,5.0,10.0,13.0,176.0,27.0,64.0,27.0,50.0,7.0,23.0,14.0,50.0,90.0,54.0,114.0,104.0,t,f,,f,Italy,1.0,12.0,15.0,0.0,202.0,2.0,10.0,64.0,114.0,37.0,64.0,23.0,50.0,16.0,23.0,14.0,175.0,13.0,43.0,27.0,47.0,5.0,10.0,13.0,60.0,114.0,40.0,90.0,100.0,f,f,t,Italy
