,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,alexander-zverev,A. Zverev,grigor-dimitrov,G. Dimitrov,basel,Round of 32,3.0,f,500,3,01:45:00,156.0,1.0,12.0,14.0,0.0,0.0,251.0,4.0,3.0,49.0,76.0,32.0,49.0,14.0,27.0,1.0,5.0,13.0,118.0,12.0,43.0,17.0,37.0,3.0,14.0,13.0,46.0,76.0,29.0,80.0,75.0,f,f,WC,t,Switzerland,2.0,14.0,12.0,0.0,258.0,7.0,5.0,43.0,80.0,31.0,43.0,20.0,37.0,11.0,14.0,13.0,193.0,17.0,49.0,13.0,27.0,4.0,5.0,13.0,51.0,80.0,30.0,76.0,81.0,t,f,f,Switzerland
1,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,andreas-haider-maurer,A. Haider-Maurer,simone-bolelli,S. Bolelli,basel,2nd Round Qualifying,3.0,f,500,2,01:40:00,160.0,1.0,13.0,15.0,0.0,0.0,283.0,14.0,3.0,53.0,85.0,40.0,53.0,16.0,32.0,4.0,6.0,14.0,180.0,6.0,52.0,14.0,23.0,1.0,1.0,14.0,56.0,85.0,20.0,75.0,76.0,f,f,6,t,Switzerland,2.0,15.0,13.0,0.0,291.0,6.0,3.0,52.0,75.0,46.0,52.0,9.0,23.0,0.0,1.0,14.0,122.0,13.0,53.0,16.0,32.0,2.0,6.0,14.0,55.0,75.0,29.0,85.0,84.0,t,f,f,Switzerland
2,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,andreas-haider-maurer,A. Haider-Maurer,yann-marti,Y. Marti,basel,1st Round Qualifying,2.0,f,500,1,01:04:00,106.0,2.0,12.0,5.0,0.0,0.0,314.0,9.0,3.0,31.0,48.0,28.0,31.0,9.0,17.0,1.0,1.0,9.0,163.0,8.0,24.0,17.0,34.0,3.0,7.0,8.0,37.0,48.0,25.0,58.0,62.0,t,f,6,t,Switzerland,0.0,5.0,12.0,0.0,222.0,6.0,4.0,24.0,58.0,16.0,24.0,17.0,34.0,4.0,7.0,8.0,57.0,3.0,31.0,8.0,17.0,0.0,1.0,9.0,33.0,58.0,11.0,48.0,44.0,f,f,f,Switzerland
3,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,andrey-golubev,A. Golubev,borna-coric,B. Coric,basel,Round of 16,2.0,f,500,4,01:24:00,115.0,0.0,8.0,12.0,0.0,0.0,245.0,4.0,1.0,33.0,60.0,24.0,33.0,12.0,27.0,1.0,4.0,10.0,161.0,2.0,25.0,13.0,30.0,1.0,1.0,10.0,36.0,60.0,15.0,55.0,51.0,f,f,,f,Switzerland,2.0,12.0,8.0,0.0,285.0,2.0,1.0,25.0,55.0,23.0,25.0,17.0,30.0,0.0,1.0,10.0,188.0,9.0,33.0,15.0,27.0,3.0,4.0,10.0,40.0,55.0,24.0,60.0,64.0,t,f,t,Switzerland
4,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,andrey-golubev,A. Golubev,teymuraz-gabashvili,T. Gabashvili,basel,Round of 32,2.0,f,500,3,01:02:00,96.0,2.0,12.0,6.0,0.0,0.0,322.0,1.0,0.0,21.0,42.0,20.0,21.0,16.0,21.0,0.0,0.0,9.0,182.0,15.0,38.0,8.0,16.0,3.0,5.0,9.0,36.0,42.0,23.0,54.0,59.0,t,f,,t,Switzerland,0.0,6.0,12.0,0.0,249.0,2.0,0.0,38.0,54.0,23.0,38.0,8.0,16.0,2.0,5.0,9.0,29.0,1.0,21.0,5.0,21.0,0.0,0.0,9.0,31.0,54.0,6.0,42.0,37.0,f,f,f,Switzerland
5,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,benjamin-becker,B. Becker,gastao-elias,G. Elias,basel,Round of 32,2.0,f,500,3,01:02:00,105.0,2.0,12.0,5.0,0.0,0.0,300.0,3.0,4.0,32.0,48.0,27.0,32.0,8.0,16.0,2.0,2.0,8.0,183.0,4.0,23.0,22.0,34.0,4.0,7.0,9.0,35.0,48.0,26.0,57.0,61.0,t,f,,t,Switzerland,0.0,5.0,12.0,0.0,223.0,13.0,3.0,23.0,57.0,19.0,23.0,12.0,34.0,3.0,7.0,9.0,66.0,5.0,32.0,8.0,16.0,0.0,2.0,8.0,31.0,57.0,13.0,48.0,44.0,f,f,f,Switzerland
6,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,benjamin-becker,B. Becker,ivo-karlovic,I. Karlovic,basel,Quarter-Finals,2.0,f,500,5,01:16:00,126.0,0.0,8.0,12.0,0.0,0.0,255.0,4.0,3.0,43.0,64.0,28.0,43.0,11.0,21.0,3.0,6.0,10.0,118.0,6.0,46.0,12.0,16.0,1.0,5.0,10.0,39.0,64.0,18.0,62.0,57.0,f,f,,f,Switzerland,2.0,12.0,8.0,0.0,290.0,19.0,5.0,46.0,62.0,40.0,46.0,4.0,16.0,4.0,5.0,10.0,163.0,15.0,43.0,10.0,21.0,3.0,6.0,10.0,44.0,62.0,25.0,64.0,69.0,t,f,t,Switzerland
7,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,benjamin-becker,B. Becker,mikhail-kukushkin,M. Kukushkin,basel,Round of 16,3.0,f,500,4,02:08:00,177.0,2.0,17.0,13.0,1.0,2.0,278.0,15.0,3.0,54.0,83.0,42.0,54.0,13.0,29.0,2.0,5.0,14.0,169.0,21.0,55.0,18.0,39.0,5.0,10.0,14.0,55.0,83.0,39.0,94.0,94.0,t,t,,f,Switzerland,1.0,13.0,17.0,1.0,247.0,9.0,1.0,55.0,94.0,34.0,55.0,21.0,39.0,5.0,10.0,14.0,158.0,12.0,54.0,16.0,29.0,3.0,5.0,14.0,55.0,94.0,28.0,83.0,83.0,f,t,t,Switzerland
8,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,borna-coric,B. Coric,david-goffin,D. Goffin,basel,Semi-Finals,3.0,f,500,6,02:06:00,180.0,1.0,13.0,15.0,0.0,0.0,271.0,10.0,7.0,56.0,96.0,42.0,56.0,20.0,40.0,5.0,7.0,14.0,100.0,7.0,39.0,19.0,45.0,1.0,3.0,14.0,62.0,96.0,26.0,84.0,88.0,f,f,WC,f,Switzerland,2.0,15.0,13.0,0.0,282.0,10.0,6.0,39.0,84.0,32.0,39.0,26.0,45.0,2.0,3.0,14.0,118.0,14.0,56.0,20.0,40.0,2.0,7.0,14.0,58.0,84.0,34.0,96.0,92.0,t,f,t,Switzerland
9,2014-10-20,2014-10-26,Switzerland,Hard,1458610.0,€,2014,borna-coric,B. Coric,ernests-gulbis,E. Gulbis,basel,Round of 32,2.0,f,500,3,01:34:00,141.0,2.0,13.0,9.0,1.0,1.0,271.0,6.0,2.0,34.0,69.0,25.0,34.0,22.0,35.0,4.0,6.0,11.0,146.0,16.0,42.0,17.0,30.0,3.0,14.0,10.0,47.0,69.0,33.0,72.0,80.0,t,f,WC,t,Switzerland,0.0,9.0,13.0,0.0,238.0,9.0,4.0,42.0,72.0,26.0,42.0,13.0,30.0,11.0,14.0,10.0,114.0,9.0,34.0,13.0,35.0,2.0,6.0,11.0,39.0,72.0,22.0,69.0,61.0,f,f,f,Switzerland
